Round,Bluff,Person,Smile,Laughter,Scowl,Frown brow,Raise brow,Big Open Eyes,Close eye,Close one eye,Close eye repeat,Look up,Look down,Look side,Head forward,Head back,Tilt head,Repeat tilt head,Repeat Shake,Open mouth,Nod,Repeat Nod,Side Turn,Hand up,Hand down,Hand sideways,Hand complex
1,1,Jonah,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
,0,Botez,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
2,1,Jonah,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
,0,Canseco,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
2,0,Jonah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,0,Canseco,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0
3,0,Jonah,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
,0,Botez,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,0,Richards,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
3,1,Jonah,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,0,Botez,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
,0,Richards,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1,Jonah,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,0,Richards,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Ben,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
,0,Laak,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,Ben,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
,1,Neg,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1
3,0,Laak,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
,0,Schwartz,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,0,Laak,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,1,Schwartz,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
3,1,Laak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,0,Schwartz,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smile = Smile,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laughter=Laugh,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scowl = Scowl,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frown Brow = Frown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raise Brow = Raise,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Open Eyes = X-Open (exaggerated opening),,,,,,,,,,,,,,,,,,,,,,,,,,,
Close Eye = Close-BE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close one eye = OtherEyeMovements (no column that has close 1 eye),,,,,,,,,,,,"Double Check?, doesn't matter both are 0s anyways",,,,,,,,,,,,,,,
Close eye Repeat = Close-R ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look Up = gazeUp,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look Down = gazeDown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look Side = gazeSide,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Forward = forwardHead,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head back = backHead,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilt head = sideTilt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repeat tilt Head = sideTiltR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repeat Shake = waggle,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Mouth = openMouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nod = downR,,,,,,,,,,,,Double Check? ,,,,,,,,,,,,,,,
RepeatNod = downRHead,,,,,,,,,,,,Double Check? ,,,,,,,,,,,,,,,
Side Turn = SideTurn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Up = upHand,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand down = downHand,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand sideways = sideways Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Complex = complexHandM,,,,,,,,,,,,,,,,,,,,,,,,,,,
